batch,best_val_accuracy,best_val_loss,elapsed_s,epoch,event,examples_per_s_interval,mean_step_s_interval,overall_examples_per_s,progress,step,train_loss,train_loss_interval,trial,val_accuracy,val_loss
20,,,,7,step,,,,,700,0.8395389318466187,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
23,,,,8,step,,,,,800,0.7725086212158203,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
26,,,,9,step,,,,,900,0.7742284536361694,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
29,,,,10,step,,,,,1000,0.7377273440361023,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
32,,,,11,step,,,,,1100,0.5970844030380249,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
35,,,,12,step,,,,,1200,0.612800121307373,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
,0.7892,0.6087122436523438,43.56537520803977,13,bin,14402.966989339136,0.03461852946980294,14744.950546433123,0.24989690721649485,1212,,0.7463869829185725,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,0.7892,0.6087122436523438
38,,,,13,step,,,,,1300,0.63514643907547,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
41,,,,14,step,,,,,1400,0.4977983832359314,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
44,,,,15,step,,,,,1500,0.4921582043170929,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
47,,,,16,step,,,,,1600,0.5008237361907959,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
50,,,,17,step,,,,,1700,0.5188096761703491,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
53,,,,18,step,,,,,1800,0.49218595027923584,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
,0.8217,0.5150182373046875,65.28314688499086,19,bin,14310.193173385542,0.03484304447787242,14728.065991385163,0.3750515463917526,1819,,0.5351165356804943,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,0.8217,0.5150182373046875
56,,,,19,step,,,,,1900,0.41160649061203003,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
59,,,,20,step,,,,,2000,0.43794047832489014,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
62,,,,21,step,,,,,2100,0.44812116026878357,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
